Node,f1,f2,f3,f4,fall,r,c
1138,20,0,20,20,60,23,38
1784,20,0,20,20,60,36,34
1250,16,0,16,16,48,25,0
1251,16,0,16,16,48,25,1
1252,16,0,16,16,48,25,2
1302,16,0,16,16,48,26,2
1734,16,0,17,13,46,35,34
1735,16,0,17,12,45,35,35
1298,7,20,16,0,43,26,48
1300,13,0,16,13,42,26,0
1448,5,20,16,0,41,29,48
1101,13,0,13,13,39,22,1
1137,14,0,13,11,38,23,37
1200,13,0,12,13,38,24,0
1676,13,0,12,13,38,34,26
1444,11,10,16,0,37,29,44
1353,12,0,12,12,36,27,3
1354,12,0,12,12,36,27,4
1675,12,0,12,12,36,34,25
1303,12,0,9,12,33,26,3
2481,2,20,10,0,32,50,31
1201,11,0,9,10,30,24,1
1690,9,5,16,0,30,34,40
1347,1,20,8,0,29,27,47
1299,0,20,8,0,28,26,49
1398,0,20,8,0,28,28,48
1496,0,20,8,0,28,30,46
1348,0,20,7,0,27,27,48
1447,0,20,7,0,27,29,47
1397,0,20,6,0,26,28,47
1592,7,5,13,0,25,32,42
1008,9,0,6,9,24,20,8
1445,1,15,7,0,23,29,45
706,9,0,4,9,22,14,6
1693,1,15,6,0,22,34,43
1644,0,15,6,0,21,33,44
1692,1,15,5,0,21,34,42
1816,9,0,3,9,21,36,16
1151,9,0,4,7,20,23,1
1446,0,15,5,0,20,29,46
1545,0,15,5,0,20,31,45
1743,0,15,5,0,20,35,43
1593,1,10,7,0,18,32,43
1643,0,15,2,0,17,33,43
1785,9,0,8,0,17,36,35
1791,0,15,2,0,17,36,41
2431,0,15,2,0,17,49,31
1062,6,0,4,6,16,21,12
1741,1,10,5,0,16,35,41
1152,8,0,0,6,14,23,2
2232,3,5,6,0,14,45,32
1487,8,0,5,0,13,30,37
1540,6,0,6,0,12,31,40
1725,6,0,0,6,12,35,25
2176,7,0,5,0,12,44,26
2478,0,10,2,0,12,50,28
1486,9,0,2,0,11,30,36
1494,0,10,1,0,11,30,44
1514,4,0,0,6,10,30,14
1985,2,5,2,0,9,40,35
417,2,0,0,6,8,8,17
775,2,0,0,5,7,16,25
1493,1,5,1,0,7,30,43
1542,1,5,1,0,7,31,42
1688,4,0,3,0,7,34,38
1936,1,5,1,0,7,39,36
1968,7,0,0,0,7,39,18
1072,3,0,0,3,6,21,22
1443,0,5,1,0,6,29,43
1591,0,5,1,0,6,32,41
1641,0,5,1,0,6,33,41
1642,0,5,1,0,6,33,42
1691,0,5,1,0,6,34,41
1740,0,5,1,0,6,35,40
2281,0,5,1,0,6,46,31
805,5,0,0,0,5,16,5
1145,0,5,0,0,5,23,45
1194,0,5,0,0,5,24,44
1453,5,0,0,0,5,29,3
1492,0,5,0,0,5,30,42
1541,0,5,0,0,5,31,41
1570,2,0,0,3,5,31,20
1640,0,5,0,0,5,33,40
1739,0,5,0,0,5,35,39
1789,0,5,0,0,5,36,39
1837,0,5,0,0,5,37,37
1838,0,5,0,0,5,37,38
2036,0,5,0,0,5,41,36
2084,0,5,0,0,5,42,34
756,4,0,0,0,4,15,6
803,4,0,0,0,4,16,3
854,4,0,0,0,4,17,4
1087,4,0,0,0,4,22,37
1202,4,0,0,0,4,24,2
1208,2,0,0,2,4,24,8
1351,4,0,0,0,4,27,1
2175,4,0,0,0,4,44,25
560,3,0,0,0,3,11,10
1123,0,0,0,3,3,22,23
1130,3,0,0,0,3,23,30
1290,3,0,0,0,3,26,40
1815,3,0,0,0,3,36,15
378,0,0,0,2,2,8,28
567,0,0,0,2,2,11,17
852,2,0,0,0,2,17,2
853,2,0,0,0,2,17,3
1013,0,0,0,2,2,20,13
1063,0,0,0,2,2,21,13
1268,0,0,0,2,2,25,18
1367,0,0,0,2,2,27,17
1538,2,0,0,0,2,31,38
1726,2,0,0,0,2,35,26
1730,2,0,0,0,2,35,30
1782,2,0,0,0,2,36,32
2013,2,0,0,0,2,40,13
27,0,0,0,1,1,1,27
80,0,0,0,1,1,2,30
329,0,0,0,1,1,7,29
467,0,0,0,1,1,9,17
525,0,0,0,1,1,11,25
617,0,0,0,1,1,12,17
667,0,0,0,1,1,13,17
717,0,0,0,1,1,14,17
718,0,0,0,1,1,14,18
750,1,0,0,0,1,15,0
903,1,0,0,0,1,18,3
904,1,0,0,0,1,18,4
951,1,0,0,0,1,19,1
952,1,0,0,0,1,19,2
1020,0,0,0,1,1,20,20
1021,0,0,0,1,1,20,21
1022,0,0,0,1,1,20,22
1037,1,0,0,0,1,21,37
1071,0,0,0,1,1,21,21
1084,1,0,0,0,1,22,34
1088,1,0,0,0,1,22,38
1139,1,0,0,0,1,23,39
1142,1,0,0,0,1,23,42
1187,1,0,0,0,1,24,37
1214,0,0,0,1,1,24,14
1257,1,0,0,0,1,25,7
1318,0,0,0,1,1,26,18
1390,1,0,0,0,1,28,40
1437,1,0,0,0,1,29,37
1470,0,0,0,1,1,29,20
1482,1,0,0,0,1,30,32
1488,1,0,0,0,1,30,38
1587,1,0,0,0,1,32,37
1638,1,0,0,0,1,33,38
1682,1,0,0,0,1,34,32
1687,1,0,0,0,1,34,37
1728,1,0,0,0,1,35,28
2027,1,0,0,0,1,41,27
2072,1,0,0,0,1,41,22
2076,1,0,0,0,1,42,26
