Location,Pixel_val,Coord_val,pixel_x,pixel_y,coord_x,coord_y,value,Min_Dist
0,"(0.0, 0.0)","(-13.29847222188996, 9.999861135630074)",0,0,-13.29847222,9.999861136,0,1.493066235
1,"(0.0, 1.0)","(-13.29847222188996, 9.938283357359673)",0,1,-13.29847222,9.938283357,0,1.441925354
2,"(0.0, 2.0)","(-13.29847222188996, 9.876705579089274)",0,2,-13.29847222,9.876705579,0,1.387508774
3,"(0.0, 3.0)","(-13.29847222188996, 9.815127800818873)",0,3,-13.29847222,9.815127801,0,1.325971533
4,"(0.0, 4.0)","(-13.29847222188996, 9.753550022548474)",0,4,-13.29847222,9.753550023,0,1.264438239
5,"(0.0, 5.0)","(-13.29847222188996, 9.691972244278073)",0,5,-13.29847222,9.691972244,0,1.202909497
6,"(0.0, 6.0)","(-13.29847222188996, 9.630394466007674)",0,6,-13.29847222,9.630394466,0,1.141386044
7,"(0.0, 7.0)","(-13.29847222188996, 9.568816687737273)",0,7,-13.29847222,9.568816688,0,1.079868785
8,"(0.0, 8.0)","(-13.29847222188996, 9.507238909466874)",0,8,-13.29847222,9.507238909,0,1.01835884
9,"(0.0, 9.0)","(-13.29847222188996, 9.445661131196474)",0,9,-13.29847222,9.445661131,0,0.956857622
10,"(0.0, 10.0)","(-13.29847222188996, 9.384083352926073)",0,10,-13.29847222,9.384083353,0,0.895366928
11,"(0.0, 11.0)","(-13.29847222188996, 9.322505574655674)",0,11,-13.29847222,9.322505575,0,0.833889086
12,"(0.0, 12.0)","(-13.29847222188996, 9.260927796385273)",0,12,-13.29847222,9.260927796,0,0.772427164
13,"(0.0, 13.0)","(-13.29847222188996, 9.199350018114874)",0,13,-13.29847222,9.199350018,0,0.710985293
14,"(0.0, 14.0)","(-13.29847222188996, 9.137772239844473)",0,14,-13.29847222,9.13777224,0,0.649569162
15,"(0.0, 15.0)","(-13.29847222188996, 9.076194461574074)",0,15,-13.29847222,9.076194462,0,0.588186833
16,"(0.0, 16.0)","(-13.29847222188996, 9.014616683303673)",0,16,-13.29847222,9.014616683,0,0.526850121
17,"(0.0, 17.0)","(-13.29847222188996, 8.953038905033274)",0,17,-13.29847222,8.953038905,0,0.465577057
18,"(0.0, 18.0)","(-13.29847222188996, 8.891461126762874)",0,18,-13.29847222,8.891461127,0,0.404396571
19,"(0.0, 19.0)","(-13.29847222188996, 8.829883348492473)",0,19,-13.29847222,8.829883348,0,0.343358155
20,"(0.0, 20.0)","(-13.29847222188996, 8.768305570222074)",0,20,-13.29847222,8.76830557,0,0.282553898
21,"(0.0, 21.0)","(-13.29847222188996, 8.706727791951673)",0,21,-13.29847222,8.706727792,0,0.22217613
22,"(0.0, 22.0)","(-13.29847222188996, 8.645150013681274)",0,22,-13.29847222,8.645150014,0,0.162700357
23,"(0.0, 23.0)","(-13.29847222188996, 8.583572235410873)",0,23,-13.29847222,8.583572235,0.00505008,0.105660894
24,"(0.0, 24.0)","(-13.29847222188996, 8.521994457140474)",0,24,-13.29847222,8.521994457,0.009405774,0.058657386
25,"(0.0, 25.0)","(-13.29847222188996, 8.460416678870073)",0,25,-13.29847222,8.460416679,0.00547092,0.048211766
26,"(0.0, 26.0)","(-13.29847222188996, 8.398838900599674)",0,26,-13.29847222,8.398838901,0.002798586,0.08053277
27,"(0.0, 27.0)","(-13.29847222188996, 8.337261122329274)",0,27,-13.29847222,8.337261122,0.010891877,0.131563581
28,"(0.0, 28.0)","(-13.29847222188996, 8.275683344058873)",0,28,-13.29847222,8.275683344,0.004250484,0.178412629
29,"(0.0, 29.0)","(-13.29847222188996, 8.214105565788474)",0,29,-13.29847222,8.214105566,0.008353674,0.223106887
30,"(0.0, 30.0)","(-13.29847222188996, 8.152527787518073)",0,30,-13.29847222,8.152527788,0.005618214,0.273449144
31,"(0.0, 31.0)","(-13.29847222188996, 8.090950009247674)",0,31,-13.29847222,8.090950009,0.005152696,0.322243002
32,"(0.0, 32.0)","(-13.29847222188996, 8.029372230977273)",0,32,-13.29847222,8.029372231,0.005302584,0.374148781
33,"(0.0, 33.0)","(-13.29847222188996, 7.967794452706873)",0,33,-13.29847222,7.967794453,0.004292568,0.424261026
34,"(0.0, 34.0)","(-13.29847222188996, 7.9062166744364735)",0,34,-13.29847222,7.906216674,0.005092164,0.477065166
35,"(0.0, 35.0)","(-13.29847222188996, 7.844638896166074)",0,35,-13.29847222,7.844638896,0.00031563,0.531759882
36,"(0.0, 36.0)","(-13.29847222188996, 7.783061117895674)",0,36,-13.29847222,7.783061118,0,0.587817673
37,"(0.0, 37.0)","(-13.29847222188996, 7.721483339625273)",0,37,-13.29847222,7.72148334,0,0.644883173
38,"(0.0, 38.0)","(-13.29847222188996, 7.659905561354874)",0,38,-13.29847222,7.659905561,0,0.702710925
39,"(0.0, 39.0)","(-13.29847222188996, 7.598327783084473)",0,39,-13.29847222,7.598327783,0,0.761127207
40,"(0.0, 40.0)","(-13.29847222188996, 7.536750004814074)",0,40,-13.29847222,7.536750005,0,0.820006251
41,"(0.0, 41.0)","(-13.29847222188996, 7.475172226543673)",0,41,-13.29847222,7.475172227,0,0.879255096
42,"(0.0, 42.0)","(-13.29847222188996, 7.413594448273273)",0,42,-13.29847222,7.413594448,0,0.93880373
43,"(0.0, 43.0)","(-13.29847222188996, 7.3520166700028735)",0,43,-13.29847222,7.35201667,0,0.998598521
44,"(0.0, 44.0)","(-13.29847222188996, 7.290438891732474)",0,44,-13.29847222,7.290438892,0,1.058597759
45,"(0.0, 45.0)","(-13.29847222188996, 7.228861113462074)",0,45,-13.29847222,7.228861113,0,1.118768551
46,"(0.0, 46.0)","(-13.29847222188996, 7.167283335191673)",0,46,-13.29847222,7.167283335,0,1.179084633
47,"(0.0, 47.0)","(-13.29847222188996, 7.105705556921274)",0,47,-13.29847222,7.105705557,0,1.239524795
48,"(0.0, 48.0)","(-13.29847222188996, 7.044127778650873)",0,48,-13.29847222,7.044127779,0,1.300071732
49,"(0.0, 49.0)","(-13.29847222188996, 6.982550000380474)",0,49,-13.29847222,6.98255,0,1.360711192
50,"(1.0, 0.0)","(-13.23785555473836, 9.999861135630074)",1,0,-13.23785555,9.999861136,0,1.460769121
51,"(1.0, 1.0)","(-13.23785555473836, 9.938283357359673)",1,1,-13.23785555,9.938283357,0,1.408456023
52,"(1.0, 2.0)","(-13.23785555473836, 9.876705579089274)",1,2,-13.23785555,9.876705579,0,1.356920764
53,"(1.0, 3.0)","(-13.23785555473836, 9.815127800818873)",1,3,-13.23785555,9.815127801,0,1.306255411
54,"(1.0, 4.0)","(-13.23785555473836, 9.753550022548474)",1,4,-13.23785555,9.753550023,0,1.256565191
55,"(1.0, 5.0)","(-13.23785555473836, 9.691972244278073)",1,5,-13.23785555,9.691972244,0,1.201956697
56,"(1.0, 6.0)","(-13.23785555473836, 9.630394466007674)",1,6,-13.23785555,9.630394466,0,1.140381842
57,"(1.0, 7.0)","(-13.23785555473836, 9.568816687737273)",1,7,-13.23785555,9.568816688,0,1.078807321
58,"(1.0, 8.0)","(-13.23785555473836, 9.507238909466874)",1,8,-13.23785555,9.507238909,0,1.017233193
59,"(1.0, 9.0)","(-13.23785555473836, 9.445661131196474)",1,9,-13.23785555,9.445661131,0,0.955659537
60,"(1.0, 10.0)","(-13.23785555473836, 9.384083352926073)",1,10,-13.23785555,9.384083353,0,0.894086449
61,"(1.0, 11.0)","(-13.23785555473836, 9.322505574655674)",1,11,-13.23785555,9.322505575,0,0.832514054
62,"(1.0, 12.0)","(-13.23785555473836, 9.260927796385273)",1,12,-13.23785555,9.260927796,0,0.770942519
63,"(1.0, 13.0)","(-13.23785555473836, 9.199350018114874)",1,13,-13.23785555,9.199350018,0,0.709372068
64,"(1.0, 14.0)","(-13.23785555473836, 9.137772239844473)",1,14,-13.23785555,9.13777224,4.21E-05,0.64780301
65,"(1.0, 15.0)","(-13.23785555473836, 9.076194461574074)",1,15,-13.23785555,9.076194462,0.00063126,0.586235784
66,"(1.0, 16.0)","(-13.23785555473836, 9.014616683303673)",1,16,-13.23785555,9.014616683,0.000399798,0.524671034
67,"(1.0, 17.0)","(-13.23785555473836, 8.953038905033274)",1,17,-13.23785555,8.953038905,0.002146284,0.463109749
68,"(1.0, 18.0)","(-13.23785555473836, 8.891461126762874)",1,18,-13.23785555,8.891461127,0,0.401553521
69,"(1.0, 19.0)","(-13.23785555473836, 8.829883348492473)",1,19,-13.23785555,8.829883348,0,0.340005098
70,"(1.0, 20.0)","(-13.23785555473836, 8.768305570222074)",1,20,-13.23785555,8.76830557,6.31E-05,0.278469655
71,"(1.0, 21.0)","(-13.23785555473836, 8.706727791951673)",1,21,-13.23785555,8.706727792,0.00052605,0.216958236
72,"(1.0, 22.0)","(-13.23785555473836, 8.645150013681274)",1,22,-13.23785555,8.645150014,0.000146621,0.155499355
73,"(1.0, 23.0)","(-13.23785555473836, 8.583572235410873)",1,23,-13.23785555,8.583572235,0.002714418,0.094195903
74,"(1.0, 24.0)","(-13.23785555473836, 8.521994457140474)",1,24,-13.23785555,8.521994457,0.00252504,0.033901805
75,"(1.0, 25.0)","(-13.23785555473836, 8.460416678870073)",1,25,-13.23785555,8.460416679,0.001199394,0.01083334
76,"(1.0, 26.0)","(-13.23785555473836, 8.398838900599674)",1,26,-13.23785555,8.398838901,0.002567124,0.046751448
77,"(1.0, 27.0)","(-13.23785555473836, 8.337261122329274)",1,27,-13.23785555,8.337261122,0.004587156,0.092731939
78,"(1.0, 28.0)","(-13.23785555473836, 8.275683344058873)",1,28,-13.23785555,8.275683344,0.002251494,0.137699615
79,"(1.0, 29.0)","(-13.23785555473836, 8.214105565788474)",1,29,-13.23785555,8.214105566,0.003535056,0.187236697
80,"(1.0, 30.0)","(-13.23785555473836, 8.152527787518073)",1,30,-13.23785555,8.152527788,0.016244424,0.237781523
81,"(1.0, 31.0)","(-13.23785555473836, 8.090950009247674)",1,31,-13.23785555,8.090950009,0.005047966,0.288433066
82,"(1.0, 32.0)","(-13.23785555473836, 8.029372230977273)",1,32,-13.23785555,8.029372231,0.003535056,0.340029552
83,"(1.0, 33.0)","(-13.23785555473836, 7.967794452706873)",1,33,-13.23785555,7.967794453,0.007701372,0.394499942
84,"(1.0, 34.0)","(-13.23785555473836, 7.9062166744364735)",1,34,-13.23785555,7.906216674,0.005197374,0.450803681
85,"(1.0, 35.0)","(-13.23785555473836, 7.844638896166074)",1,35,-13.23785555,7.844638896,0.001136268,0.508331936
86,"(1.0, 36.0)","(-13.23785555473836, 7.783061117895674)",1,36,-13.23785555,7.783061118,0,0.566711922
87,"(1.0, 37.0)","(-13.23785555473836, 7.721483339625273)",1,37,-13.23785555,7.72148334,0,0.625705276
88,"(1.0, 38.0)","(-13.23785555473836, 7.659905561354874)",1,38,-13.23785555,7.659905561,0,0.685153581
89,"(1.0, 39.0)","(-13.23785555473836, 7.598327783084473)",1,39,-13.23785555,7.598327783,0,0.744947925
90,"(1.0, 40.0)","(-13.23785555473836, 7.536750004814074)",1,40,-13.23785555,7.536750005,0,0.805011203
91,"(1.0, 41.0)","(-13.23785555473836, 7.475172226543673)",1,41,-13.23785555,7.475172227,0,0.865287414
