Node,f1,f2,f3,f4,fall,r,c
27,0,0,0,1,1,27,0
80,0,0,0,1,1,30,1
329,0,0,0,1,1,29,6
378,0,0,0,2,2,28,7
417,2,0,0,6,8,17,8
467,0,0,0,1,1,17,9
525,0,0,0,1,1,25,10
560,3,0,0,0,3,10,11
567,0,0,0,2,2,17,11
617,0,0,0,1,1,17,12
667,0,0,0,1,1,17,13
706,9,0,4,9,22,6,14
717,0,0,0,1,1,17,14
718,0,0,0,1,1,18,14
750,1,0,0,0,1,0,15
756,4,0,0,0,4,6,15
775,2,0,0,5,7,25,15
803,4,0,0,0,4,3,16
805,5,0,0,0,5,5,16
852,2,0,0,0,2,2,17
853,2,0,0,0,2,3,17
854,4,0,0,0,4,4,17
903,1,0,0,0,1,3,18
904,1,0,0,0,1,4,18
951,1,0,0,0,1,1,19
952,1,0,0,0,1,2,19
1008,9,0,6,9,24,8,20
1013,0,0,0,2,2,13,20
1020,0,0,0,1,1,20,20
1021,0,0,0,1,1,21,20
1022,0,0,0,1,1,22,20
1037,1,0,0,0,1,37,20
1062,6,0,4,6,16,12,21
1063,0,0,0,2,2,13,21
1071,0,0,0,1,1,21,21
1072,3,0,0,3,6,22,21
1084,1,0,0,0,1,34,21
1087,4,0,0,0,4,37,21
1088,1,0,0,0,1,38,21
1101,13,0,13,13,39,1,22
1123,0,0,0,3,3,23,22
1130,3,0,0,0,3,30,22
1137,14,0,13,11,38,37,22
1138,20,0,20,20,60,38,22
1139,1,0,0,0,1,39,22
1142,1,0,0,0,1,42,22
1145,0,5,0,0,5,45,22
1151,9,0,4,7,20,1,23
1152,8,0,0,6,14,2,23
1187,1,0,0,0,1,37,23
1194,0,5,0,0,5,44,23
1200,13,0,12,13,38,0,24
1201,11,0,9,10,30,1,24
1202,4,0,0,0,4,2,24
1208,2,0,0,2,4,8,24
1214,0,0,0,1,1,14,24
1250,16,0,16,16,48,0,25
1251,16,0,16,16,48,1,25
1252,16,0,16,16,48,2,25
1257,1,0,0,0,1,7,25
1268,0,0,0,2,2,18,25
1290,3,0,0,0,3,40,25
1298,7,20,16,0,43,48,25
1299,0,20,8,0,28,49,25
1300,13,0,16,13,42,0,26
1302,16,0,16,16,48,2,26
1303,12,0,9,12,33,3,26
1318,0,0,0,1,1,18,26
1347,1,20,8,0,29,47,26
1348,0,20,7,0,27,48,26
1351,4,0,0,0,4,1,27
1353,12,0,12,12,36,3,27
1354,12,0,12,12,36,4,27
1367,0,0,0,2,2,17,27
1390,1,0,0,0,1,40,27
1397,0,20,6,0,26,47,27
1398,0,20,8,0,28,48,27
1437,1,0,0,0,1,37,28
1443,0,5,1,0,6,43,28
1444,11,10,16,0,37,44,28
1445,1,15,7,0,23,45,28
1446,0,15,5,0,20,46,28
1447,0,20,7,0,27,47,28
1448,5,20,16,0,41,48,28
1453,5,0,0,0,5,3,29
1470,0,0,0,1,1,20,29
1482,1,0,0,0,1,32,29
1486,9,0,2,0,11,36,29
1487,8,0,5,0,13,37,29
1488,1,0,0,0,1,38,29
1492,0,5,0,0,5,42,29
1493,1,5,1,0,7,43,29
1494,0,10,1,0,11,44,29
1496,0,20,8,0,28,46,29
1514,4,0,0,6,10,14,30
1538,2,0,0,0,2,38,30
1540,6,0,6,0,12,40,30
1541,0,5,0,0,5,41,30
1542,1,5,1,0,7,42,30
1545,0,15,5,0,20,45,30
1570,2,0,0,3,5,20,31
1587,1,0,0,0,1,37,31
1591,0,5,1,0,6,41,31
1592,7,5,13,0,25,42,31
1593,1,10,7,0,18,43,31
1638,1,0,0,0,1,38,32
1640,0,5,0,0,5,40,32
1641,0,5,1,0,6,41,32
1642,0,5,1,0,6,42,32
1643,0,15,2,0,17,43,32
1644,0,15,6,0,21,44,32
1675,12,0,12,12,36,25,33
1676,13,0,12,13,38,26,33
1682,1,0,0,0,1,32,33
1687,1,0,0,0,1,37,33
1688,4,0,3,0,7,38,33
1690,9,5,16,0,30,40,33
1691,0,5,1,0,6,41,33
1692,1,15,5,0,21,42,33
1693,1,15,6,0,22,43,33
1725,6,0,0,6,12,25,34
1726,2,0,0,0,2,26,34
1728,1,0,0,0,1,28,34
1730,2,0,0,0,2,30,34
1734,16,0,17,13,46,34,34
1735,16,0,17,12,45,35,34
1739,0,5,0,0,5,39,34
1740,0,5,1,0,6,40,34
1741,1,10,5,0,16,41,34
1743,0,15,5,0,20,43,34
1782,2,0,0,0,2,32,35
1784,20,0,20,20,60,34,35
1785,9,0,8,0,17,35,35
1789,0,5,0,0,5,39,35
1791,0,15,2,0,17,41,35
1815,3,0,0,0,3,15,36
1816,9,0,3,9,21,16,36
1837,0,5,0,0,5,37,36
1838,0,5,0,0,5,38,36
1936,1,5,1,0,7,36,38
1968,7,0,0,0,7,18,39
1985,2,5,2,0,9,35,39
2013,2,0,0,0,2,13,40
2027,1,0,0,0,1,27,40
2036,0,5,0,0,5,36,40
2072,1,0,0,0,1,22,41
2076,1,0,0,0,1,26,41
2084,0,5,0,0,5,34,41
2175,4,0,0,0,4,25,43
2176,7,0,5,0,12,26,43
2232,3,5,6,0,14,32,44
2281,0,5,1,0,6,31,45
2431,0,15,2,0,17,31,48
2478,0,10,2,0,12,28,49
2481,2,20,10,0,32,31,49
