Column1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505008,0.009405774,0.00547092,0.002798586,0.010891877,0.004250484,0.008353674,0.005618214,0.005152696,0.005302584,0.004292568,0.005092164,0.00031563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21E-05,0.00063126,0.000399798,0.002146284,0,0,6.31E-05,0.00052605,0.000146621,0.002714418,0.00252504,0.001199394,0.002567124,0.004587156,0.002251494,0.003535056,0.016244424,0.005047966,0.003535056,0.007701372,0.005197374,0.001136268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001089188,0.00178857,0.006186348,0.002440872,0.001094184,2.09E-05,0.00031563,0.000568134,0.00010521,0.000188513,0.002777544,0.003429846,0.00042084,0.00178857,0.001989862,0.00431361,0.00357714,0.007974918,0.002743915,0.006438852,0.00410319,0.00378756,0.007953876,0.001780403,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000733107,0.000988974,0.001115226,0.000462924,0.00084168,0.00010473,0.000483966,0.000336672,6.31E-05,0.00010473,0.001767528,0.002272536,0.000715428,0.001136268,0.002953374,0.005134248,0.003808602,0.003408804,0.001235809,0.001073142,0.003408804,0.001304604,0.002672334,0.00364459,0.001241478,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0.000146621,0.000354455,0.000481756,0.000272297,0.001927024,0.000272297,0.000291904,0.000293243,0.000209459,8.38E-05,0,0.001843241,0.002178375,0.001633782,0.001424322,0.00383645,0.011771606,0.005655398,0.004042562,0.003085841,0.001172971,0.000712161,0.004398643,0.000963512,0.001251016,0.002932428,0.000377027,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0.000357714,0.00092162,0.000336672,0.000231462,0.000231462,0.004545072,0.001152025,0.000252504,0.000399798,0.00073647,0.000607432,0.000757512,0.001136268,0.007175322,0.003745476,0.00297432,0.00589176,0.002672334,0.003514014,0.002471618,0.001094184,0.000378756,0.00136773,0.000441882,0.002178375,0.002230452,0.003093174,2.10E-05,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0.000862722,0.000694386,0.001633782,0.001178352,0.001599192,0.001346688,0.0052605,0.001549998,0.001115226,0.00147294,0.000652302,0.001152025,0.00263025,0.001977948,0.003198384,0.002251494,0.002366889,0.071037791,0.008290548,0.00441882,0.003204725,0.003829644,0.00157815,0.000757512,0.00084168,0.000356081,0.004061106,0.003871728,0.00136773,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0.001599192,0.002651292,0.00147294,0.000816891,0.00220941,0.002335662,0.011657268,0.009342648,0.005424993,0.003745476,0.002567124,0.00189378,0.001529052,0.002861712,0.003009006,0.00199899,0.0031563,0.001424322,0.022851612,0.002146284,0.002546082,0.00810607,0.000820638,0.000441882,0.001809612,0.001914822,0.002911483,0.001115226,0.006775524,0.003135258,0.000481756,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0.00547092,0.002609208,0.00178857,0.001068242,0.00778554,0.005744466,0.012646242,0.038780406,0.003246617,0.002167326,0.002609208,0.00284067,0.001068242,0.002861712,0.004397778,0.0021042,0.00547092,0.003330401,0.007301574,0.00042084,0.001809612,0.001570944,0.002020032,0.00126252,0.002882754,0.002188368,0.001633782,0.001325646,0.000904806,0.005449878,0.002136484,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0.000479556,0.016254032,0.00251351,0.006325667,0.00154292,0.004545264,0.003497968,0.014306062,0.017678354,0.002502033,0.002639186,0.005299317,0.003141888,0.001855674,0.00353986,0.002995266,0.007624314,0.002199321,0.001271867,0.002136484,0.002681077,0.000733107,0.003961552,0.001529052,0.003958778,0.000774999,0.001235809,0.001980776,0.001361485,0.002597294,0.003414185,0.002877338,0.000230405,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0.00042084,0.007687152,0.0052605,0.002756502,0.005134248,0.002911483,0.001136268,0.005407794,0.013908762,0.009952866,0.004398643,0.0010521,0.001388772,0.003766518,0.002848645,0.001767528,0.005239458,0.012751452,0.0021042,0.001152025,0.005723424,0.003535056,0.00168336,0.002094592,0.007427826,0.003640266,0.004818618,0.001178352,0.001214863,0.001767528,0.001557108,0.00284067,0.004440535,0.002903796,0.002167326,0,0,0,0,0,0,0
