,Location,Pixel_val,Coord_val,pixel_x,pixel_y,coord_x,coord_y,value
0,0,"(0.0, 0.0)","(-13.29847222188996, 9.999861135630074)",0,0,-13.29847222,9.999861136,0
1,1,"(0.0, 1.0)","(-13.29847222188996, 9.938283357359673)",0,1,-13.29847222,9.938283357,0
2,2,"(0.0, 2.0)","(-13.29847222188996, 9.876705579089274)",0,2,-13.29847222,9.876705579,0
3,3,"(0.0, 3.0)","(-13.29847222188996, 9.815127800818873)",0,3,-13.29847222,9.815127801,0
4,4,"(0.0, 4.0)","(-13.29847222188996, 9.753550022548474)",0,4,-13.29847222,9.753550023,0
5,5,"(0.0, 5.0)","(-13.29847222188996, 9.691972244278073)",0,5,-13.29847222,9.691972244,0
6,6,"(0.0, 6.0)","(-13.29847222188996, 9.630394466007674)",0,6,-13.29847222,9.630394466,0
7,7,"(0.0, 7.0)","(-13.29847222188996, 9.568816687737273)",0,7,-13.29847222,9.568816688,0
8,8,"(0.0, 8.0)","(-13.29847222188996, 9.507238909466874)",0,8,-13.29847222,9.507238909,0
9,9,"(0.0, 9.0)","(-13.29847222188996, 9.445661131196474)",0,9,-13.29847222,9.445661131,0
10,10,"(0.0, 10.0)","(-13.29847222188996, 9.384083352926073)",0,10,-13.29847222,9.384083353,0
11,11,"(0.0, 11.0)","(-13.29847222188996, 9.322505574655674)",0,11,-13.29847222,9.322505575,0
12,12,"(0.0, 12.0)","(-13.29847222188996, 9.260927796385273)",0,12,-13.29847222,9.260927796,0
13,13,"(0.0, 13.0)","(-13.29847222188996, 9.199350018114874)",0,13,-13.29847222,9.199350018,0
14,14,"(0.0, 14.0)","(-13.29847222188996, 9.137772239844473)",0,14,-13.29847222,9.13777224,0
15,15,"(0.0, 15.0)","(-13.29847222188996, 9.076194461574074)",0,15,-13.29847222,9.076194462,0
16,16,"(0.0, 16.0)","(-13.29847222188996, 9.014616683303673)",0,16,-13.29847222,9.014616683,0
17,17,"(0.0, 17.0)","(-13.29847222188996, 8.953038905033274)",0,17,-13.29847222,8.953038905,0
18,18,"(0.0, 18.0)","(-13.29847222188996, 8.891461126762874)",0,18,-13.29847222,8.891461127,0
19,19,"(0.0, 19.0)","(-13.29847222188996, 8.829883348492473)",0,19,-13.29847222,8.829883348,0
20,20,"(0.0, 20.0)","(-13.29847222188996, 8.768305570222074)",0,20,-13.29847222,8.76830557,0
21,21,"(0.0, 21.0)","(-13.29847222188996, 8.706727791951673)",0,21,-13.29847222,8.706727792,0
22,22,"(0.0, 22.0)","(-13.29847222188996, 8.645150013681274)",0,22,-13.29847222,8.645150014,0
