Max_Units,Min_Distance,Min_Density,Obj_Val,Number_Clusters,Cluster_List
10,0.1,0.005,17.67074974,10,"[373, 374, 400, 413, 414, 433, 434, 456, 457, 674]"
10,0.1,0.01,17.20788146,10,"[110, 111, 120, 128, 133, 134, 146, 167, 168, 212]"
10,0.1,0.025,14.69825514,10,"[16, 22, 26, 32, 38, 41, 43, 44, 45, 46]"
10,0.25,0.005,17.67074974,10,"[373, 374, 400, 413, 414, 433, 434, 456, 457, 674]"
10,0.25,0.01,17.20788146,10,"[110, 111, 120, 128, 133, 134, 146, 167, 168, 212]"
10,0.25,0.025,14.69825514,10,"[16, 22, 26, 32, 38, 41, 43, 44, 45, 46]"
10,0.5,0.005,17.67074974,10,"[373, 374, 400, 413, 414, 433, 434, 456, 457, 674]"
10,0.5,0.01,17.20788146,10,"[110, 111, 120, 128, 133, 134, 146, 167, 168, 212]"
10,0.5,0.025,14.69825514,10,"[16, 22, 26, 32, 38, 41, 43, 44, 45, 46]"
10,0.75,0.005,17.67074974,10,"[373, 374, 400, 413, 414, 433, 434, 456, 457, 674]"
10,0.75,0.01,17.20788146,10,"[110, 111, 120, 128, 133, 134, 146, 167, 168, 212]"
10,0.75,0.025,14.69825514,10,"[16, 22, 26, 32, 38, 41, 43, 44, 45, 46]"
10,1,0.005,17.67074974,10,"[373, 374, 400, 413, 414, 433, 434, 456, 457, 674]"
10,1,0.01,17.20788146,10,"[110, 111, 120, 128, 133, 134, 146, 167, 168, 212]"
10,1,0.025,14.53224577,10,"[16, 26, 32, 38, 41, 43, 44, 45, 46, 50]"
20,0.1,0.005,34.45372816,20,"[373, 374, 399, 400, 413, 414, 432, 433, 434, 454, 455, 456, 457, 474, 487, 502, 526, 552, 672, 674]"
20,0.1,0.01,32.6603459,20,"[110, 111, 120, 128, 132, 133, 134, 145, 146, 150, 154, 155, 166, 167, 168, 178, 196, 201, 211, 212]"
20,0.1,0.025,25.96713148,20,"[14, 15, 16, 19, 22, 23, 26, 27, 28, 32, 34, 35, 38, 39, 41, 43, 44, 45, 46, 50]"
20,0.25,0.005,34.45372816,20,"[373, 374, 399, 400, 413, 414, 432, 433, 434, 454, 455, 456, 457, 474, 487, 502, 526, 552, 672, 674]"
20,0.25,0.01,32.6603459,20,"[110, 111, 120, 128, 132, 133, 134, 145, 146, 150, 154, 155, 166, 167, 168, 178, 196, 201, 211, 212]"
20,0.25,0.025,25.96713148,20,"[14, 15, 16, 19, 22, 23, 26, 27, 28, 32, 34, 35, 38, 39, 41, 43, 44, 45, 46, 50]"
20,0.5,0.005,34.45372816,20,"[373, 374, 399, 400, 413, 414, 432, 433, 434, 454, 455, 456, 457, 474, 487, 502, 526, 552, 672, 674]"
20,0.5,0.01,32.6603459,20,"[110, 111, 120, 128, 132, 133, 134, 145, 146, 150, 154, 155, 166, 167, 168, 178, 196, 201, 211, 212]"
20,0.5,0.025,25.96713148,20,"[14, 15, 16, 19, 22, 23, 26, 27, 28, 32, 34, 35, 38, 39, 41, 43, 44, 45, 46, 50]"
20,0.75,0.005,34.45372816,20,"[373, 374, 399, 400, 413, 414, 432, 433, 434, 454, 455, 456, 457, 474, 487, 502, 526, 552, 672, 674]"
20,0.75,0.01,32.6603459,20,"[110, 111, 120, 128, 132, 133, 134, 145, 146, 150, 154, 155, 166, 167, 168, 178, 196, 201, 211, 212]"
20,0.75,0.025,25.92596489,20,"[14, 15, 16, 19, 22, 23, 24, 26, 27, 28, 32, 34, 35, 38, 41, 43, 44, 45, 46, 50]"
20,1,0.005,34.45372816,20,"[373, 374, 399, 400, 413, 414, 432, 433, 434, 454, 455, 456, 457, 474, 487, 502, 526, 552, 672, 674]"
20,1,0.01,32.6603459,20,"[110, 111, 120, 128, 132, 133, 134, 145, 146, 150, 154, 155, 166, 167, 168, 178, 196, 201, 211, 212]"
20,1,0.025,18.06382969,13,"[15, 16, 26, 32, 34, 35, 38, 41, 43, 44, 45, 46, 50]"
