Max_Units,Min_Distance,Min_Density,Obj_Val,Number_Clusters,Cluster_List
10,0.1,0.005,2.553817829,10,"[288, 346, 347, 348, 377, 378, 402, 403, 512, 565]"
10,0.1,0.01,2.553817829,10,"[85, 102, 103, 104, 114, 115, 122, 123, 161, 183]"
10,0.1,0.025,2.553817829,10,"[16, 22, 23, 24, 28, 29, 30, 31, 39, 45]"
10,0.25,0.005,2.553817829,10,"[288, 346, 347, 348, 377, 378, 402, 403, 512, 565]"
10,0.25,0.01,2.553817829,10,"[85, 102, 103, 104, 114, 115, 122, 123, 161, 183]"
10,0.25,0.025,2.553817829,10,"[16, 22, 23, 24, 28, 29, 30, 31, 39, 45]"
10,0.5,0.005,2.553817829,10,"[288, 346, 347, 348, 377, 378, 402, 403, 512, 565]"
10,0.5,0.01,2.553817829,10,"[85, 102, 103, 104, 114, 115, 122, 123, 161, 183]"
10,0.5,0.025,2.553817829,10,"[16, 22, 23, 24, 28, 29, 30, 31, 39, 45]"
10,0.75,0.005,2.171663518,10,"[266, 288, 323, 346, 347, 348, 375, 377, 513, 565]"
10,0.75,0.01,2.171663518,10,"[77, 85, 96, 102, 103, 104, 112, 114, 162, 183]"
10,0.75,0.025,2.171663518,10,"[14, 16, 19, 22, 23, 24, 27, 28, 40, 45]"
10,1,0.005,0.789172903,10,"[287, 288, 430, 446, 447, 523, 545, 546, 565, 566]"
10,1,0.01,0.789172903,10,"[84, 85, 132, 141, 142, 166, 176, 177, 183, 184]"
10,1,0.025,0.789172903,10,"[15, 16, 32, 34, 35, 41, 43, 44, 45, 46]"
20,0.1,0.005,3.412241007,20,"[221, 250, 257, 266, 288, 323, 346, 347, 348, 375, 377, 378, 402, 403, 512, 513, 545, 546, 565, 574]"
20,0.1,0.01,3.412241007,20,"[58, 70, 73, 77, 85, 96, 102, 103, 104, 112, 114, 115, 122, 123, 161, 162, 176, 177, 183, 186]"
20,0.1,0.025,3.412241007,20,"[11, 12, 13, 14, 16, 19, 22, 23, 24, 27, 28, 29, 30, 31, 39, 40, 43, 44, 45, 48]"
20,0.25,0.005,3.407933835,20,"[221, 250, 266, 288, 323, 324, 346, 347, 348, 375, 377, 378, 402, 403, 512, 513, 545, 546, 565, 574]"
20,0.25,0.01,3.407933835,20,"[58, 70, 77, 85, 96, 97, 102, 103, 104, 112, 114, 115, 122, 123, 161, 162, 176, 177, 183, 186]"
20,0.25,0.025,3.407933835,20,"[11, 12, 14, 16, 19, 20, 22, 23, 24, 27, 28, 29, 30, 31, 39, 40, 43, 44, 45, 48]"
20,0.5,0.005,3.369085788,20,"[221, 266, 287, 288, 323, 324, 346, 347, 348, 375, 377, 378, 402, 403, 512, 513, 545, 546, 565, 574]"
20,0.5,0.01,3.369085788,20,"[58, 77, 84, 85, 96, 97, 102, 103, 104, 112, 114, 115, 122, 123, 161, 162, 176, 177, 183, 186]"
20,0.5,0.025,3.369085788,20,"[11, 14, 15, 16, 19, 20, 22, 23, 24, 27, 28, 29, 30, 31, 39, 40, 43, 44, 45, 48]"
20,0.75,0.005,2.696200413,20,"[97, 266, 287, 288, 296, 297, 323, 324, 346, 347, 348, 375, 377, 430, 513, 538, 545, 546, 565, 613]"
20,0.75,0.01,2.696200413,20,"[20, 77, 84, 85, 89, 90, 96, 97, 102, 103, 104, 112, 114, 132, 162, 171, 176, 177, 183, 197]"
20,0.75,0.025,2.696200413,20,"[4, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 27, 28, 32, 40, 42, 43, 44, 45, 49]"
20,1,0.005,1.013618212,20,"[262, 287, 288, 371, 373, 430, 434, 446, 447, 471, 485, 521, 523, 545, 546, 565, 566, 663, 664, 670]"
20,1,0.01,1.013618212,20,"[75, 84, 85, 109, 110, 132, 134, 141, 142, 149, 154, 165, 166, 176, 177, 183, 184, 208, 209, 211]"
20,1,0.025,0.87154013,13,"[15, 16, 26, 32, 34, 35, 38, 41, 43, 44, 45, 46, 50]"
25,0.1,0.005,3.678733421,25,"[97, 221, 250, 257, 266, 287, 288, 296, 323, 324, 346, 347, 348, 375, 377, 378, 402, 403, 463, 512, 513, 545, 546, 565, 574]"
25,0.1,0.01,3.678733421,25,"[20, 58, 70, 73, 77, 84, 85, 89, 96, 97, 102, 103, 104, 112, 114, 115, 122, 123, 147, 161, 162, 176, 177, 183, 186]"
25,0.1,0.025,3.678733421,25,"[4, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24, 27, 28, 29, 30, 31, 36, 39, 40, 43, 44, 45, 48]"
25,0.25,0.005,3.654983441,25,"[97, 221, 250, 266, 287, 288, 296, 297, 323, 324, 346, 347, 348, 375, 377, 378, 402, 403, 463, 512, 513, 545, 546, 565, 574]"
25,0.25,0.01,3.654983441,25,"[20, 58, 70, 77, 84, 85, 89, 90, 96, 97, 102, 103, 104, 112, 114, 115, 122, 123, 147, 161, 162, 176, 177, 183, 186]"
25,0.25,0.025,3.654983441,25,"[4, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 27, 28, 29, 30, 31, 36, 39, 40, 43, 44, 45, 48]"
25,0.5,0.005,3.593442029,25,"[97, 221, 266, 287, 288, 296, 297, 323, 324, 346, 347, 348, 375, 377, 378, 402, 403, 430, 512, 513, 545, 546, 565, 574, 613]"
