Location,Pixel_val,Coord_val
0,"(0, 0)","(-13.29847222188996, 9.999861135630074)"
1,"(0, 1)","(-13.29847222188996, 9.938283357359673)"
2,"(0, 2)","(-13.29847222188996, 9.876705579089274)"
3,"(0, 3)","(-13.29847222188996, 9.815127800818873)"
4,"(0, 4)","(-13.29847222188996, 9.753550022548474)"
5,"(0, 5)","(-13.29847222188996, 9.691972244278073)"
6,"(0, 6)","(-13.29847222188996, 9.630394466007674)"
7,"(0, 7)","(-13.29847222188996, 9.568816687737273)"
8,"(0, 8)","(-13.29847222188996, 9.507238909466874)"
9,"(0, 9)","(-13.29847222188996, 9.445661131196474)"
10,"(0, 10)","(-13.29847222188996, 9.384083352926073)"
11,"(0, 11)","(-13.29847222188996, 9.322505574655674)"
12,"(0, 12)","(-13.29847222188996, 9.260927796385273)"
13,"(0, 13)","(-13.29847222188996, 9.199350018114874)"
14,"(0, 14)","(-13.29847222188996, 9.137772239844473)"
15,"(0, 15)","(-13.29847222188996, 9.076194461574074)"
16,"(0, 16)","(-13.29847222188996, 9.014616683303673)"
17,"(0, 17)","(-13.29847222188996, 8.953038905033274)"
18,"(0, 18)","(-13.29847222188996, 8.891461126762874)"
19,"(0, 19)","(-13.29847222188996, 8.829883348492473)"
20,"(0, 20)","(-13.29847222188996, 8.768305570222074)"
21,"(0, 21)","(-13.29847222188996, 8.706727791951673)"
22,"(0, 22)","(-13.29847222188996, 8.645150013681274)"
23,"(0, 23)","(-13.29847222188996, 8.583572235410873)"
24,"(0, 24)","(-13.29847222188996, 8.521994457140474)"
25,"(0, 25)","(-13.29847222188996, 8.460416678870073)"
26,"(0, 26)","(-13.29847222188996, 8.398838900599674)"
27,"(0, 27)","(-13.29847222188996, 8.337261122329274)"
28,"(0, 28)","(-13.29847222188996, 8.275683344058873)"
29,"(0, 29)","(-13.29847222188996, 8.214105565788474)"
30,"(0, 30)","(-13.29847222188996, 8.152527787518073)"
31,"(0, 31)","(-13.29847222188996, 8.090950009247674)"
32,"(0, 32)","(-13.29847222188996, 8.029372230977273)"
33,"(0, 33)","(-13.29847222188996, 7.967794452706873)"
34,"(0, 34)","(-13.29847222188996, 7.9062166744364735)"
35,"(0, 35)","(-13.29847222188996, 7.844638896166074)"
36,"(0, 36)","(-13.29847222188996, 7.783061117895674)"
37,"(0, 37)","(-13.29847222188996, 7.721483339625273)"
38,"(0, 38)","(-13.29847222188996, 7.659905561354874)"
39,"(0, 39)","(-13.29847222188996, 7.598327783084473)"
40,"(0, 40)","(-13.29847222188996, 7.536750004814074)"
41,"(0, 41)","(-13.29847222188996, 7.475172226543673)"
42,"(0, 42)","(-13.29847222188996, 7.413594448273273)"
43,"(0, 43)","(-13.29847222188996, 7.3520166700028735)"
44,"(0, 44)","(-13.29847222188996, 7.290438891732474)"
45,"(0, 45)","(-13.29847222188996, 7.228861113462074)"
46,"(0, 46)","(-13.29847222188996, 7.167283335191673)"
47,"(0, 47)","(-13.29847222188996, 7.105705556921274)"
